input,time,language,algorithm
11000,88732,C,insertion_iterative
11000,87994,C,insertion_iterative
11000,88207,C,insertion_iterative
11000,88899,C,insertion_iterative
11000,88180,C,insertion_iterative
12000,104723,C,insertion_iterative
12000,105135,C,insertion_iterative
12000,106266,C,insertion_iterative
12000,105334,C,insertion_iterative
12000,106159,C,insertion_iterative
12000,108540,C,insertion_iterative
12000,110737,C,insertion_iterative
12000,108250,C,insertion_iterative
12000,109606,C,insertion_iterative
12000,108366,C,insertion_iterative
13000,126626,C,insertion_iterative
13000,127379,C,insertion_iterative
13000,127949,C,insertion_iterative
13000,128988,C,insertion_iterative
13000,125809,C,insertion_iterative
13000,125614,C,insertion_iterative
13000,126350,C,insertion_iterative
13000,127834,C,insertion_iterative
13000,127329,C,insertion_iterative
13000,123041,C,insertion_iterative
14000,207173,C,insertion_iterative
14000,145266,C,insertion_iterative
14000,147886,C,insertion_iterative
14000,148330,C,insertion_iterative
14000,147108,C,insertion_iterative
14000,146393,C,insertion_iterative
14000,141473,C,insertion_iterative
14000,144674,C,insertion_iterative
14000,142683,C,insertion_iterative
14000,144810,C,insertion_iterative
15000,166212,C,insertion_iterative
15000,160055,C,insertion_iterative
15000,163150,C,insertion_iterative
15000,165003,C,insertion_iterative
15000,165133,C,insertion_iterative
15000,156730,C,insertion_iterative
15000,161461,C,insertion_iterative
15000,160777,C,insertion_iterative
15000,161274,C,insertion_iterative
15000,160566,C,insertion_iterative
16000,180956,C,insertion_iterative
16000,184269,C,insertion_iterative
16000,183490,C,insertion_iterative
16000,182050,C,insertion_iterative
16000,181496,C,insertion_iterative
16000,186005,C,insertion_iterative
16000,189862,C,insertion_iterative
16000,182456,C,insertion_iterative
16000,183640,C,insertion_iterative
16000,183120,C,insertion_iterative
17000,207250,C,insertion_iterative
17000,207632,C,insertion_iterative
17000,206548,C,insertion_iterative
17000,204480,C,insertion_iterative
17000,205043,C,insertion_iterative
17000,208134,C,insertion_iterative
17000,205134,C,insertion_iterative
17000,206628,C,insertion_iterative
17000,205485,C,insertion_iterative
17000,203666,C,insertion_iterative
18000,232211,C,insertion_iterative
18000,228800,C,insertion_iterative
18000,231612,C,insertion_iterative
18000,229391,C,insertion_iterative
18000,232008,C,insertion_iterative
18000,229522,C,insertion_iterative
18000,235354,C,insertion_iterative
18000,232135,C,insertion_iterative
18000,231901,C,insertion_iterative
18000,232463,C,insertion_iterative
19000,259017,C,insertion_iterative
19000,258917,C,insertion_iterative
19000,256808,C,insertion_iterative
19000,267869,C,insertion_iterative
19000,262095,C,insertion_iterative
19000,262050,C,insertion_iterative
19000,262109,C,insertion_iterative
19000,266583,C,insertion_iterative
19000,262387,C,insertion_iterative
19000,258078,C,insertion_iterative
20000,287826,C,insertion_iterative
20000,289447,C,insertion_iterative
20000,293648,C,insertion_iterative
20000,297793,C,insertion_iterative
20000,299876,C,insertion_iterative
20000,301941,C,insertion_iterative
20000,291210,C,insertion_iterative
20000,303461,C,insertion_iterative
20000,295318,C,insertion_iterative
20000,294324,C,insertion_iterative
21000,335597,C,insertion_iterative
21000,330851,C,insertion_iterative
21000,325953,C,insertion_iterative
21000,322230,C,insertion_iterative
21000,317463,C,insertion_iterative
21000,326285,C,insertion_iterative
21000,325416,C,insertion_iterative
21000,323147,C,insertion_iterative
21000,330338,C,insertion_iterative
21000,328581,C,insertion_iterative
22000,361505,C,insertion_iterative
22000,352071,C,insertion_iterative
22000,353807,C,insertion_iterative
22000,350296,C,insertion_iterative
22000,347402,C,insertion_iterative
22000,345267,C,insertion_iterative
22000,397331,C,insertion_iterative
22000,354925,C,insertion_iterative
22000,342962,C,insertion_iterative
22000,349242,C,insertion_iterative
23000,379966,C,insertion_iterative
23000,380760,C,insertion_iterative
23000,382113,C,insertion_iterative
23000,381240,C,insertion_iterative
23000,378547,C,insertion_iterative
23000,381960,C,insertion_iterative
23000,384699,C,insertion_iterative
23000,393283,C,insertion_iterative
23000,378759,C,insertion_iterative
23000,379231,C,insertion_iterative
24000,410393,C,insertion_iterative
24000,412959,C,insertion_iterative
24000,410537,C,insertion_iterative
24000,413555,C,insertion_iterative
24000,413280,C,insertion_iterative
24000,411094,C,insertion_iterative
24000,409392,C,insertion_iterative
24000,410836,C,insertion_iterative
24000,410922,C,insertion_iterative
24000,412777,C,insertion_iterative
25000,447981,C,insertion_iterative
25000,442359,C,insertion_iterative
25000,451851,C,insertion_iterative
25000,449793,C,insertion_iterative
25000,447069,C,insertion_iterative
25000,449771,C,insertion_iterative
25000,451061,C,insertion_iterative
25000,455160,C,insertion_iterative
25000,451810,C,insertion_iterative
25000,446652,C,insertion_iterative
26000,488923,C,insertion_iterative
26000,492397,C,insertion_iterative
26000,486921,C,insertion_iterative
26000,489845,C,insertion_iterative
26000,490843,C,insertion_iterative
26000,487845,C,insertion_iterative
26000,488832,C,insertion_iterative
26000,493499,C,insertion_iterative
26000,486506,C,insertion_iterative
26000,484620,C,insertion_iterative
27000,529576,C,insertion_iterative
27000,529381,C,insertion_iterative
27000,522437,C,insertion_iterative
27000,535045,C,insertion_iterative
27000,531168,C,insertion_iterative
27000,526055,C,insertion_iterative
27000,525961,C,insertion_iterative
27000,526328,C,insertion_iterative
27000,528804,C,insertion_iterative
27000,526033,C,insertion_iterative
28000,575644,C,insertion_iterative
28000,562212,C,insertion_iterative
28000,571825,C,insertion_iterative
28000,568052,C,insertion_iterative
28000,565914,C,insertion_iterative
28000,572689,C,insertion_iterative
28000,572035,C,insertion_iterative
28000,566419,C,insertion_iterative
28000,568234,C,insertion_iterative
28000,566503,C,insertion_iterative
29000,605556,C,insertion_iterative
29000,605745,C,insertion_iterative
29000,604846,C,insertion_iterative
29000,597434,C,insertion_iterative
29000,605222,C,insertion_iterative
29000,608857,C,insertion_iterative
29000,604041,C,insertion_iterative
29000,606650,C,insertion_iterative
29000,601008,C,insertion_iterative
29000,606726,C,insertion_iterative
30000,642315,C,insertion_iterative
30000,655782,C,insertion_iterative
30000,661966,C,insertion_iterative
30000,655181,C,insertion_iterative
30000,656836,C,insertion_iterative
30000,649550,C,insertion_iterative
30000,652045,C,insertion_iterative
30000,653472,C,insertion_iterative
30000,654809,C,insertion_iterative
30000,650334,C,insertion_iterative
31000,691713,C,insertion_iterative
31000,699715,C,insertion_iterative
31000,699694,C,insertion_iterative
31000,696550,C,insertion_iterative
31000,696518,C,insertion_iterative
31000,699401,C,insertion_iterative
31000,693741,C,insertion_iterative
31000,692234,C,insertion_iterative
31000,691627,C,insertion_iterative
31000,689549,C,insertion_iterative
32000,743014,C,insertion_iterative
32000,747941,C,insertion_iterative
32000,742705,C,insertion_iterative
32000,737933,C,insertion_iterative
32000,745234,C,insertion_iterative
32000,735855,C,insertion_iterative
32000,738364,C,insertion_iterative
32000,738653,C,insertion_iterative
32000,732816,C,insertion_iterative
32000,745527,C,insertion_iterative
33000,793453,C,insertion_iterative
33000,781627,C,insertion_iterative
